surface,length
asphalt,13905.742204722621
asphalt;sand,275.70621420448873
asphalt;sand;ground;unpaved,0.7271182724388086
asphalt;unpaved,6.713337263213131
compacted,494.28518640427507
concrete,2.336358073652017
dirt,17.16527325955491
dirt/sand,25.385371861047403
fine_gravel,0.2312285369169381
gravel,8143.819734500876
ground,2967.7574756566237
metal,0.027847454920438375
paved,9276.780583056703
paving_stones,0.02669742306586351
sand,6907.638470726083
unapved,0.05258268696242887
unclassified,0.795187998080263
unpaved,9122.952718888253
unpaved2,0.3851859861179111
