surface,length
Asphalt,1.6933716193528907
Asphault,0.7923925574759444
"Black_Route,_Honingklip_MTB",0.921961079737276
Cape_Epic,0.48919799900276495
Gravel,1.3044051469477973
Tar,0.5692352473513068
apv,0.1002251292117853
asphalt,73856.38302122547
"asphalt,_paved",0.8549378476420787
asphalt; asphalt; gravel,4.900901996658534
asphalt; gravel; asphalt,32.62743852554378
asphalt_no_1,0.6727748440546029
boardwalk,0.9756685641181694
brick,5.1521917640996655
bricks,1.5581901503493807
cement,0.7744036247751791
clay,5.453216016882112
cobblestone,8.290572991149196
cobblestone:flattened,2.3741110618947756
compacted,1311.1891754272567
compacted; paved,0.3973158956695611
concrete,402.76432699429125
concrete:lanes,9.021715245686751
concrete:plates,0.062487105600121697
d,18.674346692178183
dirt,15000.975217190444
dirt/sand,19.69258854823444
dirt; sand,1.4198419976821621
dirt;gravel,2.3621862151144386
diry,0.19090595161519872
dry,5.2475965450386886
e,0.20590209864550463
earth,172.9228200744521
fine_gravel,1813.571869179592
gavel,0.27033447794580695
grass,191.85368079418333
grass;rock;ground,1.1628107305857096
grass_paver,0.5418139852261747
gravel,60198.999320586794
gravel;ground,5.346482521796666
ground,7214.412112311214
ground;grass,2.9848820387610173
h,1.493995333786951
hard,0.650030611280129
metal,1.8957410053924606
mud,2.3956844743464085
paved,12942.946179289682
paved1,0.08518015634517954
paved; paved; unpaved; unpaved,2.6902228090521234
paved; unpaved,1.8736542683783715
paved; unpaved; paved,0.9562866853852249
paving_stone,0.7863975506875346
paving_stones,695.0587973854068
paving_stones:30,1.0012284881516442
pebblestone,5.775406037002654
planks,0.6611210627136886
private,0.5689765411346637
rock,20.66624205897845
rocky,0.08765109350227529
sand,6621.005911784293
sett,33.727200842131566
soil,259.9321535949817
steel,0.07582407704498556
stone,0.023736605715185988
strip,0.4024409068769235
tar,11.532772315879457
tarr,53.97595718766358
tartan,7.212285951741183
uno,0.550088483898684
unpaved,71222.43479606793
"unpaved,_dirt",0.7545649376463927
unpaved2,1.1826630802127134
unpaved33,7.1073506988209845
unpaved; gravel,40.70876758175679
unpaved; paved,4.757955743797482
unsurfaced,9.078207473094068
wood,9.009552144327564
yes,1.1009180099167968
