surface,length
UN,6.24678760092628
asphalt,193.5046163638849
bing,1.143795695802119
compacted,190.4494375333735
concrete,0.02750387591408802
dirt,711.916746832722
dirt/sand,0.7281605351192254
earth,0.5325745710823091
fine_gravel,1.5214417884875497
grass,6.893662130157489
gravel,305.6936572837761
ground,862.4700319633725
mud,0.21466143804003587
murram,14.853647435002374
paved,163.76343454014955
sand,307.18268396978505
tartan,3.642349970861075
unpaved,15843.32020983317
unpaved3,24.015926922493968
