surface,length
30/,0.3349689309861107
Track,0.13224821585105623
asphalt,713.7739049318238
bitumé,1.7037645293802357
compacted,902.4205964984919
concrete,2.9107447945051743
concrete:lanes,0.3226354106117207
dirt,1376.313905489611
dirt/sand,1332.5103818106936
dirt/sand;dirt,2.194112635523876
dirt;sand,97.53633871969105
du,0.4524737392185617
earth,11.540704091476403
farmland,2.5327112035411843
grass,1.602512260059257
gravel,90.94048329242892
ground,19562.646055266894
karral,69.51264379215765
metal,0.06428333459407676
mud,6.895964409257003
paved,2187.3679168853314
paving_stones,0.5110057436943649
pebblestone,17.458427858613046
rock,12.663014880371527
rocks,1.4051934599131934
sand,2467.0721462911706
shingle,2.868606027365185
track,0.3717087578308925
unpaved,27160.644404239116
unpaved_minor,0.5568105043652479
unspecified,2.9972125757240633
