surface,length
artificial_turf,0.038252883942827484
asphalt,9048.482466340041
cobblestone,2.7761570561451743
compacted,107.12179070531356
concrete,34.177568271852344
concrete:plates,0.03759908572054274
dirt,1176.9554958468252
dirt/sand,0.10245133226283365
earth,15.041738217037295
fine_gravel,0.8764510700540167
grass,6.844875422045364
gravel,224.8051342757368
ground,39526.49541495201
metal,0.09488744865415297
mud,1.439028300989994
paved,313.7745041922922
paving_stones,4.06664787800473
pebblestone,11.738156192670765
rock,1.6308997067805862
sand,45.18870473862096
soil,9.824760449074587
unpaved,12467.526552154948
unpaved3,1.895225487470305
unpaved; ground,23.914643736997746
unsealed,0.4058088902793865
wood,3.135937786828016
yb,0.07376343737742698
