surface,length
asphalt,35396.33531410142
asphalt; unpaved,37.73961077405554
compacted,288.28631203656516
dirt,26.916102471109056
dirt/sand,20.226145738376232
fine_gravel,7.040280352783847
grass,0.6729254545477309
gravel,19.98397832714625
ground,357.3734345764584
minor,0.24760782086928762
paved,1098.074478693263
paved; unpaved; paved; paved; paved; paved; paved,17.537007753026085
pebblestone,0.45958786740376195
sand,224.89351645983487
sett,4.42907632301087
tartan,3.23621553855606
unpaved,228310.121508801
unpaved2,0.15600098168351245
unpaved; dirt/sand,189.38065180843404
unpaved_dirt,0.1780292081243205
unsealed,0.5910134605597674
wood,0.340654814761656
y,0.7352057418513268
