surface,length
3,0.04455196012398319
Alfato,4.145014689292703
asfalto,1.679199420818649
asphalt,11281.88938316905
asphalt_no,0.6434543438754327
asphalt_no_1,24.34387843769364
cobblestone,0.1795688969319541
compacted,746.3800391694886
concrete,79.00624592943842
concrete:lanes,0.9146277035218193
concrete:plates,0.2225481063110766
di,0.03695308629590959
dirt,719.4312482170833
dirt/sand,5.4917816926886065
earth,31.605185116216212
grass,0.035612736633393274
gravel,763.2040447393593
ground,16965.581621017354
groundw,0.4770368043460358
metal,4.128076146261829
mud,0.1693862488479647
paved,1360.73854935987
paveed,0.03177362513527574
paving_stones,219.14173993557392
sand,521.8851596238953
unp-,0.6419071901990819
unpaved,30141.23231610942
unpaved2,0.6804759872701449
unpaved3,1.454482122106595
unpaved; ground,13.076158358958594
unpavedw,4.754356094636652
wood,0.06389252205169843
