surface,length
asphalt,6197.073518198619
cobblestone,7.496228382036898
compacted,180.380511206106
concrete,2.8456985109522743
dirt,1680.627402419374
earth,33.145496890126665
fine_gravel,2.073044694661634
grass,2.2114182708363894
gravel,170.64757297761275
ground,20340.721923120658
ground‬,29.98742210554388
ground‬‏,110.33178430022339
mud,2.459684267997322
paved,5662.45152488225
sand,2679.8003384592103
tartan,60.37576816122062
unpaved,25535.603717489856
unpaved2,1.2925841200120647
unpaved3,18.222870867262994
wood,0.5914583716093771
