surface,length
asphalt,3273.9071627192816
asphalt3,26.330180157742717
compacted,505.1206238414363
concrete,3.8230572692032916
dirt,509.2267698949211
dirt/sand,2.350969092984405
dirt‬,0.1338768594926153
earth,87.96359199797452
gr,0.08555800227682409
grass,0.6299444284623494
gravel,1333.6354952483664
ground,5198.957125702431
metal,0.037395765130524464
mud,6.018308585586183
paved,3903.333556369566
paved33,12.69226773276111
paving_stones,0.8437084400424101
res,1.237583362887152
sand,648.4539595653168
"sand,_stoney",69.3886153025556
terre,1.3336988733650206
u,12.416832068274473
un,0.7757731648515346
unkown,0.3702653463086254
unpaved,43414.15011520211
"unpaved,_dirt",1.3570897719591002
unpaved2,5.049601995647829
unpaved22,2.2916949251491987
unpaved222,0.15139853062013967
unpaved3,76.90524509308959
unpaved322,0.0797030385092152
unpaved33,19.514637443727153
unpaved333,3.8963754524403083
unpavedwww,0.2793168256273584
upaved,1.0120166761782574
wood,1.651840581383789
