tracktype,length
FARM TRACK,0.3100438335945488
Path,1.3045333703299429
T,0.2645268694866541
Tolon,7.5653819327319605
Zabuzugu,0.05627740758452958
Zabzugu & Tatale,3.271882882622436
Zabzugu- Tatale-Track,0.2849773442237074
grade1,0.09242710048168801
grade2,152.2279328209304
grade3,128.62652885848945
grade4,165.64627333820428
grade5,40.295711709838656
tolon,0.8373241822486099
track,0.6432150501290754
type 1,0.34064229683977487
unclassified,1.9279657493181925
zabuzugu,0.9849866196897478
zabzugu highway,2.0603969060100455
