surface,length
MdenineTech,0.0934064583328861
MedenineTech,0.46566665318830847
asphalt,5591.362167179445
asphalt;sand,51.189155290412266
bicouche,109.04970755841434
cobblestone,24.349843387640938
compacted,22.412907372444216
concrete,21.798278978675775
concrete:lanes,0.0025192709353311134
dirt,75.36384099327326
dirt/sand,1.8656134685723014
earth,18.345818123499072
enrobé,19.13008009079696
eé,0.07090718308855315
grass,95.8211284047721
gravel,3240.391440928791
ground,4670.921462137746
ground;gravel,3.494155052582913
groundé,0.13639522925557623
metal,0.08851877312397965
monocouche,4.084384141559282
non aménagée,83.25566300633221
non_aménagé,2.0538231548287933
non_aménagée,0.3544022178301574
paved,2048.3397663338515
paving_stones,6.012664584446922
pebblestone,3.9515613941071077
sand,2743.2754394023978
tricouche,0.12726640473122797
un,0.18173952692870568
unpaved,1781.7443249996388
wood,0.6556195370030924
xbxf,0.5136231961543165
