surface,length
Non Bittumée,1.2323433719849184
RN_33,14.516723360286809
asphalt,4442.396380856309
cobblestone,0.6621750483492986
compacted,303.0013161758813
concrete,1.2689456125763008
concrete:plates,3.09580165253723
dirt,626.3057139249058
dirt/sand,33.36103348783981
earth,10.21322922673071
fine_gravel,59.867465972239216
grass,36.89472720310621
gravel,213.5657790093562
gravel; ground,0.1501008015736596
ground,18204.589813112427
living street,1.2027428495179124
mud,0.14348812554744436
paved,1105.3808756644871
paving_stones,3.536128849832726
sand,2195.161812453613
soil,5.432855050114748
un,0.38048129773231837
unpaved,53031.928712315595
wood,2.5318200033677503
