surface,length
Gravel,78.2937634103297
Sandbags,0.06375061509803832
asphalt,3713.697087297236
bing,3.422154403791982
cobblestone,1.0889610288321012
compacted,35.80318196085379
concrete,4.045490082977638
dirt,10815.11869783386
dirt/sand,150.57659978754089
earth,82.5727711253125
grass,65.0429431049973
gravel,1183.239679518757
ground,5967.353332174282
metal,0.24559881582927956
mud,3.1807918629329697
path,2.5973324212555853
paved,5087.540892426709
paving_stones,0.3370689988020465
pebblestone,15.79998783094507
rock,1.235867408442537
sand,1757.982015099066
unpaved,20576.878661762876
unpaved2,2.4366818924884437
unpaved222,0.24741420895702348
wood,0.02995265973014258
