surface,length
2,1.030296365868969
asphalt,6976.869473825317
asphalt_no_1,2.8780707625817232
clay,226.57200775000356
cobblestone,0.5173287117110528
compacted,95.45080577014777
concrete,14.631288148581008
concrete:plates,1.0843804219560274
dirt,5569.880086226299
dirt/sand,184.4938725004734
dirt;unpaved,0.4954197756260363
earth,151.99704449117158
fine_gravel,14.245307753499164
grass,78.74958025510729
gravel,3681.9397095826175
ground,2596.8513589192185
metal,3.82352540488906
mud,182.36494395619522
paved,4120.47622011018
paved3,5.887349791238417
paving_stones,0.37511578219482083
sand,10165.482375183421
unpaved,26460.23618760351
unpaved2,1.014170373330297
unpaved22,0.04479077843153321
water,0.025731321531850468
wood,0.32699314584126143
