surface,length
asphalt,6195.351833312961
asphalt; unpaved,0.1607235568911316
clay,0.8046111912748957
compacted,49.916816541631746
concrete,29.920860296812247
dirt,267.61396995022204
earth,60.76828526203583
gravel,94.66345519166653
ground,2884.391257163795
paved,195.92443749139147
paved; sand,0.2760952658116996
paving_stones,0.9598378841606504
sand,3952.6448796650657
un,2.135411999144381
un; unpaved,0.07326950633454288
unpaved,17674.502121515794
unpaved; paved,7.02158370083565
unpaved; paved; unpaved,2.023640287831648
unpaveds,0.03582681946465536
y,2.8827670117004556
