surface,length
0.3,0.06167388413036808
0.5,0.36347723300390083
2,8.532714176141148
22,0.07259514617023559
3,0.13652813101681333
EARTH ROAD,0.583512427374517
Garden Street,0.13532164002663694
Kachcha_raasta,0.13542528375919444
Poor,1.2036260247340507
Road,3.4855220719724223
Unpaved,0.27748889131902876
Unpaved_Road,0.13778146589520432
aerial,14.716734396474335
anpaved,0.7857001857569895
asphalt,5820.057801635769
asphalt-,1.0375606466367877
asphalt_no_1,0.5844805342341384
brick,0.019949293785422966
clay,0.29624806171490264
cobblestone,5.262929177274737
cobblestones,2.022153312768162
compacted,753.5730390257739
compacted.,0.08689056515493772
concrete,95.39713441424254
concrete-,0.2983188512129617
concrete:lanes,2.9763078018037348
concrete:plates,0.27876628950353494
dirt,2664.7412450508386
"dirt, tarmac",12.13078211506573
"dirt,_grass",0.3746017174284318
dirt/sand,78.32263560567067
dirt2,0.15030636164378766
dirt;gravel,1.024833748124755
dust,2.877562082779621
earth,263.67506669050954
eroded,4.770290958148825
fine_gravel,3.5467006926334945
grass,32.33044911380815
gravel,1222.0232025710782
gravel;unpaved,31.496219093800764
ground,13159.403410586108
ground2,0.8889253764568523
ground3,0.03450229427456986
ground‬,0.060820111628607794
metal,0.10652187692275293
mud,18.761583893974066
narrow,0.9589784063646964
path,1.1038500849890094
paved,16267.344103527093
paved;unpaved,18.26045183758809
paving_stones,2.197224342748359
pebblestone,0.05403943663714948
residential,0.8047519426388505
rock,0.029181878605075946
rocky,0.1761800527130346
sand,2043.8292921976386
sett,0.3631952878191471
stone,0.06992214315785852
stream,0.1404711963622297
tarmac,0.05985437086136488
tartan,0.2345054331560527
track,0.1307913749940556
un,0.33838323669718773
un2,0.15008071904517623
unapved,0.7727579974196356
unclassified,0.013678088698542621
unp,0.2607358471005149
unpaved,188370.96062625237
"unpaved,_dirt",0.18517297804970206
unpaved-,0.3723339147335793
unpaved2,41.558639287541084
unpaved22,3.1154012629730343
unpaved222,0.7479386626157908
unpaved22222,0.11199626216651266
unpaved3,97.71081692758986
unpaved33,12.938873412493791
unpaved333,1.1927300614370955
unpaved;dirt,0.021754047354034738
unpaved;paved,89.5800260055689
unpaved=,0.652360366386099
unpaved?,2.2307664477406064
unpaved_dirt,1.3646391713276183
unpaved_minor,2.985138787977673
unpaved_track,0.020315521806267677
unpaveds,1.288012359241327
unpavedw,39.51059643853588
unpavedww,0.4177927022643012
unpl3,3.3106807121971396
unsealed,0.7531885028356076
upaved,0.27771953772478586
wood,1.080721620748642
ys,0.6649929478179647
