surface,length
*,17.49109702503351
2,19.722840827970902
Dillapidated,3.7249896271369107
Earth Road,2.3959681515185967
FBA_SIDE_WALK,0.12172069459317959
Mud_Track,0.4416080115355135
Paved,0.17252810329444815
Residential road,4.574630175410265
U,14.730002389066335
UNTAILED,0.21694116755423512
asphalt,12368.595841087317
asphalt2,0.46521120885998507
asphalt;ground,0.3318091702347003
cobblestone,6.293293339596705
compacted,63.50959737188976
concrete,1.1895714729615412
dirt,608.7678491448887
dirt/sand,24.39554232209764
earth,2266.020248153845
fine_gravel,402.41155845627446
graded,92.64671545878753
grass,37.76025719116547
grass_paver,0.5026159069365351
gravel,166.47409450999456
ground,13012.816687884582
mud,84.76208922780215
path,5.171435883957584
paved,57416.29032505627
paved;unpaved,15.739965070415192
paving_stones,48.77618515947916
pebblestone,1.8829424683164049
residential,12.247827889591898
sand,128.96164705832453
service,1.0413837593839725
sett,0.26893693193410373
soil,1.3301235213329248
terre,0.20945453572169914
track,23.708694939167362
u],0.5155225715186539
ubpaved,7.913125113112098
unclassifed,8.498173121487588
unclassified,37.43080760323522
unn,0.038655563386192734
uno,0.09758496479105776
unpaved,286263.63247420726
unpaved2,121.03380733467196
unpaved22,9.296377580337627
unpaved222,0.498327429729825
unpaved23,0.08534697170796739
unpaved2w2,0.12042900542915297
unpaved3,66.93329997580979
unpaved32,0.6668981446023773
unpaved33,0.49907963718625065
unpaved;paved,38.82701779661913
unpavedw,2.491529357386413
unpavedwq,0.40006962886346725
unpavedx,0.8691850708846955
unpved,0.22236461955957867
unsealed,53.08416354922823
uu,3.612726104122377
waterway,3.573299242428103
wood,0.049181565133603576
