surface,length
asphalt,720.6971575265611
asphalt_no_1,3.1868376302390837
clay,0.25998287182547775
cobblestone,41.26436715420691
cobblestone;unpaved,6.583684708052966
compacted,4.183357367479501
concrete,0.0030349684688261752
dirt,310.27456506306316
earth,10.96206526923327
grass,8.94578004641919
gravel,28.472409378497456
ground,793.855746532266
paved,1578.4848090038113
paved;unpaved,2.834398951227265
paving_stones,16.44626320623523
paving_stones:30,0.06874171601316627
paving_stones;unpaved,4.0760417909514794
sand,1539.1375711122332
unpaved,13269.40426535426
unpaved2,0.979206564188237
unpaved3,14.00890382432566
unpaved;asphalt,3.5015678698913826
unpaved;cobblestone,3.4673317276814397
unpaved;cobblestone;paving_stones,2.291842982192623
unpaved;paved,11.570648586936665
unpaved_compactDAQ,0.7094559600504755
unpavedw,0.6587521826038334
wood,0.0034161451961399075
