surface,length
asphalt,1954.0148115750599
asphalt_no_1,8.084357268283533
cobblestone,0.36876141462480755
cobblestone:flattened,2.1148558653813754
compacted,3.4076196245886243
concrete,10.918392055900348
concrete:lanes,0.2830791737924685
dirt,17.19717230501611
dirt/sand,70.5985714697721
fine_gravel,0.1138652673207197
grass,0.7653585485163215
gravel,483.26005305565565
gravel;unpaved,31.496219093800764
ground,64.92646179107497
paved,215.48893104456474
paving_stones,6.059748494370222
sand,37.973251017216214
unpaved,25276.602616992448
"unpaved,_potential_road",0.05217127002060244
unpaved;dirt/sand,0.8354300338468504
unspecified,1.0737894455324468
