surface,length
asphalt,714.8804688137424
cobblestone,436.50017279340585
cobblestone:flattened,0.3505637616590581
compacted,1.55413486391166
concrete,0.8060751689839545
cou,0.07161121283100744
dirt,33.738225007498
earth,5.308550838998022
grass,0.15988103755216346
gravel,63.13514178450205
ground,179.16211705846322
metal,0.021798289744755308
paved,36.328882993632234
paving_stones,16.92481511622418
pebblestone,1.7858904363211323
sand,121.29749754661518
sett,16.259278557324258
unpaved,272.8199806811128
wood,0.08799749434872879
