surface,length
2012,6.135745878714056
Tagmagalli,0.46244531132815603
asphalt,4472.924461554521
asphalt;unpaved,1.5230143464948724
cobblestone,0.047085018084653464
compacted,2613.6506280603708
concrete,5.2358246250146
dirt,963.7442878195462
dirt/sand,1.823084442033482
earth,531.8431068519135
gravel,69.4060574103951
ground,5301.901037716858
metal,2.0503554363239673
paved,599.5416739141618
paving_stones,0.7355827941465973
pebblestone,2.1250121682339222
sand,159.53836651460452
soil,9.8201116407216
un,0.9650615598844774
unpaved,29578.948164613575
unpaved;ground,1.805332898033182
wood,0.42591679802039334
