surface,length
2,5.348237918027983
22,0.7879245055328148
Turn_Restrictions_Click_to_select_a_road_segment,0.13271057139168863
asphalt,1299.263916613673
cement,0.016057418867503895
comp,0.03381254720404892
compacted,27.55350376052552
concrete,2.432961673675569
d,2.350763429901388
dirt,2068.62672764285
dirt/sand,54.43119829974581
dirt_path,0.32051600885014125
earth,26.221758523380565
fine_gravel,0.16960518914492512
grass,77.06907138764115
grass_paver,1.3446919296136517
gravel,200.8168305557323
ground,1963.4248239639205
irrigation,0.5849480491968279
metal,0.9521794859151912
mixed,4.601061246535364
ongeplaveide,5.864497706998132
paved,1163.8653666950938
paving_stones,0.16305146389733072
phula,0.04747690180277597
residential,0.6035359399943919
sand,102.33362437031464
sett,1.869776417639764
tartan,0.14101164593803187
unpaved,26948.316465188702
"unpaved,_natural",0.0750819717527638
unpaved2,3.173585045635001
unpaved3,10.405494310985315
unpaved33,4.878900385502296
unpaved_path_leading_to_some_houses,0.07834960372369326
wood,0.23286094060989732
zandweg,0.20155862514409023
