smoothness,length
bad,833.2412299946474
excellent,277.66319150337006
good,910.5522638740475
horrible,3005.1132950745223
intermediate,191.94762298457363
very_bad,358.84569059976724
very_good,231.3249021771565
very_horrible,1245.9383172159926
