tracktype,length
FDR,0.12013952530229066
GRDD,0.038098700173788844
Murram road,71.4906254805311
Siaya,3.44276537220635
Track,232.9383580787355
WERI,1.2946225469031951
YERI,3.6734210652084442
chemintany- koiser road,6.975287574515742
footpath,0.27068684995785536
grade1,92.53789618201502
grade2,599.4085358654794
grade3,1650.9136504413143
grade4,1864.2135829171864
grade5,529.5125968497562
road track,2.180360371382554
road tracks,0.6862327911670244
roadtrack,0.9428219624992038
tullow route,8.73734351736842
