surface,length
GR,0.07537282886128356
asphalt,2160.990711135561
cement,0.4589722231079956
cimenté,0.2574052730233805
cobblestone,0.38173438849134694
compacted,126.05402796387541
concrete,11.592353190133778
concrete:lanes,0.008767232773922448
dirt,31.803432448153696
dirt/sand,0.12698824457771185
earth,4.483360410873595
fine_gravel,1.917992764121362
grass,14.804101633188358
gravel,45.075941220625474
ground,7300.86061432551
metal,0.023464578394725398
non,0.25712767891702276
paved,205.08053018218408
paving_stones,8.169772523029776
sand,1282.7983298797571
sett,0.8277511444111112
soil,2.2012267321986285
tartan,0.3735303327503091
unpaved,10381.287677241431
unpaved2,0.049973378697035345
unpaved22,0.10825104016181951
unpaved3,5.689490468921879
unpaved3222,0.8052299609045562
unpaved323,3.259296276188952
unpaved33,0.8514273359375777
unpaveds,0.06234978622095756
