surface,length
asphalt,1552.2374767502079
compacted,122.18818451679816
concrete,0.21769711754043913
concrete:lanes,0.010393994907120636
dirt,801.1892970524906
dirt/sand,6.331314857587336
earth,42.56366597270363
grass,2.375284681786273
gravel,98.90241731728102
ground,4462.688562696328
metal,0.029171808906837356
mud,8.083008103837738
paved,2819.0188468389356
sand,148.89770470243155
unpaved,27863.463277999173
unpaved2,1.5575763904111166
unpaved22,0.562535066597087
unpaveda,0.28500674856439745
wood,1.4065581753664538
