surface,length
asphalt,8600.640142969467
clay,0.8046111912748957
cobblestone,0.9404291873005516
compacted,554.4791810604287
concrete,42.2161325036138
dirt,502.28139076056624
dirt/sand,30.178866950688313
gravel,55.4069009764244
ground,10716.375268362139
im,0.4359723749898198
land,0.16367548458931516
laterite,8.442248334877114
mud,2.4908262537358357
packed,0.07594828188921508
parking autos,0.13512315559534566
paved,454.4327597593527
paving_stones,11.72189896050735
sand,2265.024389722264
sea shells,5.353697922977709
stand,0.43252155021053695
u,3.411345563508709
un,0.4496585275557404
undefined,0.20035896016900592
unpaved,23262.210729362883
unpaved3,1.2399082937951542
unpaved33,1.554892575042766
unpaved343,6.892354072616643
unpaved; compacted,10.438987019876002
unpaved_dirt,3.434056204703223
unpaved_sand,4.627117175457059
unpavedqq,0.1297595412852258
unpavedww,0.09632373433833394
wood,1.3723600581909905
