surface,length
3,0.04455196012398319
asphalt,7981.471325225984
cobblestone,6.9265574933165475
compacted,438.8418195221212
concrete,5.945151545352271
concrete:lanes,0.4570074628008242
concrete:plates,0.6422007407799041
dirt,2530.5323179658717
dirt/sand,11.058207015023223
earth,47.40420118988055
fine_gravel,24.472487575495517
grass,64.1108293335448
gravel,15118.683480392265
gravel2,6.93229019081585
ground,3095.6632252148784
metal,6.788486713852955
mud,1.2365750100431852
paved,2177.207308739365
paved; unpaved,11.193857293425719
paving_stones,9.240250317810485
pebblestone,67.73327967186387
rock,1.9811020313035417
salt,18.1766712786187
sand,3433.470110174079
sett,0.11415933773772383
tar,71.48663291247405
tartan,76.91056026614694
unpaved,32445.811753620274
"unpaved,_salt-packed",0.28954906154459154
unpaved2,0.299830011653223
unpaved22,0.34823756627078095
unpaved;gravel,2.49650164644875
unpaved;gravel;unpaved;unpaved,0.0
unpaved;paved,345.34861001109687
wood,0.5750000159472788
