surface,length
Tolon,0.6230714836933366
UN,8.620319471191666
asphalt,3332.0357345687153
clay,9.225086526360652
cobblestone,0.800233793017464
compacted,219.07574606654575
concrete,48.92315649557987
concrete:plates,0.4633491549983139
dirt,326.3190612241075
dirt/sand,0.3070306528242168
earth,32.002965227129934
fine_gravel,16.58756029370998
grass,3.6030815244634056
grass_paver,0.34337179246045924
gravel,76.25193066287456
ground,4225.493419493527
metal,0.027256940396434084
mud,20.011819774845836
paved,1819.8884465450112
paving_stones,2.7362315980041165
pebblestone,0.6480285717532775
sand,122.7080277501506
soil,26.578312633436653
unpaved,14101.708171692473
wood,0.5060382782344924
