surface,length
1,0.09725711930364632
Terre,1.485278654772352
as,1.4933867986715295
asphalt,76636.45016246126
cobblestone,9.536081830512884
compacted,505.5055503272985
concrete,670.0099340956989
concrete:plates,0.521799166082821
cx,0.05457113839341426
dirt,457.6801032261682
dirt.25,1.3015267400052404
earth,440.1924298854828
fine_gravel,0.780966435948531
grass,0.6614174327747022
grass_paver,0.7446747362495781
gravel,3663.094588045352
ground,12863.509254344786
metal,1.217476032916784
mixed,5.406057980452538
mud,3.449345126668615
no,25.64549060130331
pas,0.014180570814778904
paved,1840.9925316334236
paving_stones,316.7444330815413
pebbelstone,6.813083805167701
pebbles,2.784657791078382
pebblestone,1.3739870271918073
piste,11.779413168878142
res,0.0741118213265588
route,2.379196985829788
sand,2736.4993416000434
scree,0.25066568731315036
sett,187.95113870039543
shingle,37.552112356639185
unpaved,26045.827350410058
unpaveds,0.08096439084878422
wood,1.216359069939253
