tracktype,length
grade,2.2930759844730395
grade1,1241.666962062628
grade2,4308.218186881457
grade3,7245.497686234664
grade4,1506.827040305638
grade5,3941.1403346440316
rue boutesswana,0.27697079256227825
rue el kastel,0.15729225618674764
