,2010-01,2010-04,2010-07,2010-10,2011-01,2011-04,2011-07,2011-10,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04
abandoned,,,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.749,0.749,0.749,0.749,0.749,0.749,1.418,1.418,1.733,4.305,5.937,6.384,6.384,6.384,6.384,6.384,6.384,6.384,6.384,6.384,6.415,6.415
platform,,,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.712,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913
residential;residential;residential;unclassified,,,0.182,0.182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
secondary link,,,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bazaar,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ex-road,,,,0.248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential;tertiary,,,,0.268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.255,,,
bus_guideway,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
former_road,,,,,0.248,0.248,0.248,0.248,0.248,0.248,0.248,0.248,0.248,0.248,0.248,0.248,0.248,0.248,0.248,0.248,0.248,0.248,0.248,0.248,0.248,0.248,0.248,0.248,0.248,0.248,0.248,0.248,0.248,0.248,0.248,0.248,0.248,0.248
traffic_signals,,,,,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.227,0.227,0.227
Alabaster ave,,,,,,0.321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albite St,,,,,,0.523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azurite st,,,,,,0.337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Babbit ave,,,,,,0.471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disa Circle,,,,,,2.244,2.244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epidote rd,,,,,,2.277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garnet Ave,,,,,,0.163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kornalyn ave,,,,,,0.481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orpiment Ave,,,,,,5.695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pumice Ave,,,,,,0.278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turquoise st,,,,,,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proposed,,,,,,0.391,0.391,0.391,20.237,20.237,20.237,20.237,29.192,31.786,57.447,65.487,70.283,70.283,73.592,83.207,87.423,106.943,125.031,122.623,117.44,113.9,142.079,149.663,146.838,136.768,135.68,135.745,134.606,134.606,124.006,122.502,122.519,122.519
bajadam,,,,,,,0.502,0.502,0.502,0.502,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsidential,,,,,,,7.672,7.672,7.672,7.672,7.672,7.672,7.672,7.672,7.672,7.672,7.672,7.672,7.672,7.672,7.672,7.672,7.672,7.672,7.672,7.672,7.672,7.672,7.672,7.672,7.672,7.672,7.672,7.672,7.672,7.672,7.672,7.672
secondary;tertiary,,,,,,,5.336,5.336,5.336,5.336,5.336,5.336,5.336,5.336,5.336,5.336,5.336,5.336,5.336,5.336,5.336,5.336,5.336,5.336,5.336,5.336,5.336,5.336,5.336,5.336,5.336,5.336,5.336,5.336,5.781,5.336,5.336,5.336
unclassified_link,,,,,,,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,,,,,,,,,,,,,,,,,,
foot,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
turning_circle,,,,,,,,,,0.087,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.132,,,,,,,,,,,,,,,
yes,,,,,,,,,,0.445,0.445,0.445,0.445,0.445,0.445,0.445,0.445,0.445,0.445,0.694,0.694,0.694,0.694,0.694,0.694,0.694,0.694,0.694,0.445,0.445,0.559,0.478,0.478,0.478,0.478,0.478,0.478,0.478
motorway_junction,,,,,,,,,,,,0.149,0.149,0.149,0.149,0.149,0.149,0.149,0.149,0.149,0.149,0.149,0.149,,,,,,,,,,,,,,,
unclassified; residential,,,,,,,,,,,,2.29,,2.796,2.796,,,,,,,,,,,,,,,,,,,,,,,
tertiary; unclassified,,,,,,,,,,,,,7.675,7.675,7.675,7.675,7.675,7.675,7.675,7.675,7.675,7.675,7.675,7.675,7.675,7.675,7.675,7.675,7.675,7.675,7.675,,,,,,,
ttack,,,,,,,,,,,,,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75
res,,,,,,,,,,,,,,0.101,,,,,,,,,,,,,,,,,,,,,,,,
