,2010-01,2010-04,2010-07,2010-10,2011-01,2011-04,2011-07,2011-10,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04
bridleway,,,,,,,,,,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,5.631,5.353,5.353,5.353,5.353,5.353,5.353,5.353,5.353,5.353,5.353,5.353,39.843,40.389,40.389,40.389,40.408,41.017
steps,,,,,,,,,,0.133,0.179,0.179,0.179,0.179,0.179,0.179,0.179,0.179,0.179,0.179,0.179,0.275,0.332,0.332,0.344,0.344,0.513,0.591,0.591,0.591,0.591,0.591,0.591,0.591,0.567,0.567,0.567,0.567
tertiary_link,,,,,,,,,,,3.035,3.035,22.894,14.131,7.005,7.053,7.414,7.424,7.424,7.424,12.971,11.951,11.951,11.951,15.471,87.364,72.264,70.048,70.048,44.064,47.145,47.145,47.935,15.948,25.543,16.684,16.715,16.838
yes,,,,,,,,,,,0.262,0.262,,,,,,,,,1.084,1.084,1.084,1.084,1.084,1.084,1.084,1.084,1.084,1.084,1.084,1.084,1.084,1.084,1.084,1.084,1.084,1.084
bridge,,,,,,,,,,,,,0.011,,,,,,,,,,,,,,,,,,,,,,,,,
construction,,,,,,,,,,,,,96.89,32.814,32.814,35.467,35.467,35.467,35.541,36.017,33.714,33.714,34.045,34.045,34.045,34.045,34.045,34.045,34.045,34.045,34.045,34.355,34.355,34.355,34.355,34.355,34.355,45.707
ford,,,,,,,,,,,,,,0.274,0.274,0.323,0.323,0.386,0.386,0.062,,,,,,,,,,,,,,,,,,
tertiary;residential,,,,,,,,,,,,,,0.508,0.508,0.508,0.508,0.508,0.508,0.508,0.508,0.508,0.508,,,,,,,,,,,,,,,
BOULEVARD DE L'INDEPENDANCE,,,,,,,,,,,,,,,,1.033,,,,,,,,,,,,,,,,,,,,,,
cycleway,,,,,,,,,,,,,,,,,,,,,30.923,31.269,31.27,31.27,31.27,31.27,31.243,31.243,32.725,14.845,16.126,16.126,19.179,19.179,19.179,19.179,13.921,14.884
fixme,,,,,,,,,,,,,,,,,,,,,0.501,0.501,0.501,0.501,,,,,,,,,,,,,,
path;unclassified,,,,,,,,,,,,,,,,,,,,,9.262,9.262,9.262,,,,,,,,,,,,,,,
residential;track,,,,,,,,,,,,,,,,,,,,,1.551,,,,,,,,,,,,,,,,,
