,2010-01,2010-04,2010-07,2010-10,2011-01,2011-04,2011-07,2011-10,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04
bridleway,,,,,,,,,,,,,,,,,,,,,11.518,11.518,11.518,11.518,11.518,11.518,11.518,11.518,11.518,11.518,11.518,11.518,11.518,11.518,11.518,11.518,11.518,11.588
footway;unclassified,,,,,,,,,,,,,,,,,,,,,2.503,2.503,2.503,,,,,,,,,,,,,,,
path;unclassified,,,,,,,,,,,,,,,,,,,,,3.958,3.958,3.958,,,,,,,,,,,,,,,
residential;unclassified,,,,,,,,,,,,,,,,,,,,,0.171,,,,,,,,,,,,,,,,,
rivière,,,,,,,,,,,,,,,,,,,,,3.101,3.101,3.101,3.101,3.101,3.101,3.101,3.101,3.101,3.101,3.101,3.101,3.101,3.101,3.101,3.101,3.101,3.101
track;unclassified,,,,,,,,,,,,,,,,,,,,,1.523,1.523,1.523,,,,,,,,,,,,,,,
unclassified;track,,,,,,,,,,,,,,,,,,,,,2.072,2.072,2.072,,,,,,,,,,,,,,,
passing_place,,,,,,,,,,,,,,,,,,,,,,0.051,0.051,,,,,,,,,,,,,,,
hut,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031
footpath,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.569,8.767,1.372,1.372,0.632,0.632,0.632,0.632,0.632,0.632,0.632
se,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.072,0.072,0.072,,,
buildings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.423,0.423,0.423,0.423,0.423
Residentiel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.078,0.078,0.078
river,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.592,2.592,2.592
unclassifay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.279,0.279,0.279
Unclassifed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.542,0.542
milestone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.376
residential;track,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.401
secondary;tertiary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.113
