,2010-01,2010-04,2010-07,2010-10,2011-01,2011-04,2011-07,2011-10,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04
services,,,,,,,,,,0.161,0.161,0.161,0.161,0.161,0.161,0.161,0.161,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,2.527,2.527,2.527,2.527,2.527,2.527,2.527,2.527,2.527,2.527,2.527
motorway_link,,,,,,,,,,,7.713,11.772,3.594,3.667,3.595,9.03,12.82,15.488,11.65,11.808,12.08,16.153,16.815,22.309,22.414,22.414,23.543,25.125,26.871,26.871,26.871,29.234,29.251,29.317,30.809,30.809,34.583,35.105
bridleway,,,,,,,,,,,,0.051,0.051,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.963,3.633,4.179,3.297,3.297,3.297,48.444,22.939,23.934,24.486,25.75
driveway,,,,,,,,,,,,,,0.478,0.478,0.478,,,,,,,,,,,,,,,,,,,,,,
level crosing,,,,,,,,,,,,,,0.035,0.035,,,,,,,,,,,,,,,,,,,,,,,
road;residential,,,,,,,,,,,,,,,12.057,12.057,12.057,12.057,12.057,12.057,,,,,,,,,,,,,,,,,,
unclassified;trunk_link,,,,,,,,,,,,,,,4.385,4.385,4.385,4.385,4.385,4.385,4.385,4.385,4.385,4.385,4.385,4.385,4.385,4.385,4.385,4.385,4.385,4.385,4.385,4.385,4.385,4.385,4.385,4.385
traffic_signals,,,,,,,,,,,,,,,,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
Factory Road,,,,,,,,,,,,,,,,,,,1.363,,,,,,,,,,,,,,,,,,,
kithimani Road,,,,,,,,,,,,,,,,,,,0.655,0.655,0.655,0.655,0.655,,,,,,,,,,,,,,,
yes,,,,,,,,,,,,,,,,,,,,,,,,,,,0.474,1.119,0.276,2.579,2.579,0.297,0.458,0.297,0.297,0.297,0.297,0.412
corridor,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008
tracks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.817,,,,,,,,
rest_area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03
access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.628,0.628,0.628,0.628,0.628
Mutara Camp Access Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.69,
bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.538,0.538
route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.632,0.815
unpaved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55
ú,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5
